nohup: ignoring input
Start computation at Wed Jun 19 00:29:59 2024
PID: 599888
User: f.ramacciotti
Hostname: r740xd-4
Content txt in /disk2/federico/the-stack/the-stack-dedup_v1-contents.txt
Putting temp RocksDBs in /nvme/f.ramacciotti/tmp/
Dataset /disk2/federico/the-stack/small/the-stack-10G.parquet, size 11415.071 MiB
Benchmark mode: backup

Opened contents txt and read txt index: 763 s
Reading parquet and computing fingerprints: 171 s

COMPRESSION,ORDER,INSERT_THROUGHPUT(MiB/s),COMPRESSION_RATIO(%),TOT_COMPR_SIZE(GiB),COMPRESSION_SPEED(MiB/s),DECOMPRESSION_SPEED(MiB/S)
no,filename,473.92,100,0,0,0
zstd-3,filename,470.85,66.08,6.61,168.14,571.46
zstd-12,filename,488.92,53.74,5.37,203.81,607.99
zstd-22,filename,476.67,16.09,1.61,1.81,367.1
gzip-6,filename,481.86,23.12,2.31,33.36,153.63
gzip-9,filename,489.35,22.93,2.29,13.86,151.95
snappy,filename,486.91,35.63,3.56,295.89,355.07

End computation at Wed Jun 19 02:57:37 2024
